Date,Have?,Entered?,ESTC#,Subject,Title,Imprint,Author1,Author2,Author3,Author4,Editor,Translator,Printer1,PrinterLoc 1,Printer2,PrinterLoc 2,Engraver1,Engraver1 Loc,Engraver2,Engraver3,Engraver4,Illustrator1,Illustrator2,Illustrator3,Bookseller 1,SaleShop 1,ShopLoc 1,Bookseller 2,SaleShop2,ShopLoc 2,Bookseller 3,SaleShop 3,ShopLoc 3,Bookseller 4,SaleShop 4,ShopLoc 4,Bookseller 5,SaleShop 5,ShopLoc 5,Bookseller 6,SaleShop 6,ShopLoc 6,Bookseller 7,SaleShop 7,ShopLoc 7,Bookseller 8,SaleShop 8,ShopLoc 8,Bookseller 9,SaleShop 9,ShopLoc 9,Bookseller 10,SaleShop 10,ShopLoc 10,Bookseller 11,Sale Shop 11,ShopLoc 11,Bookseller 12,Sale Shop 12,ShopLoc 12,Bookseller 13,Sale Shop 13,ShopLoc 13,Bookseller 14,Sale Shop 14,ShopLoc 14,Bookseller 15,Sale Shop 15,ShopLoc 15,Bookseller 16,Sale Shop 16,ShopLoc 16,Bookseller 17,Sale Shop 17,ShopLoc 17,Bookseller 18,Sale Shop 18,ShopLoc 18,Bookseller 19,Sale Shop 19,ShopLoc 19,RefSource,Library,Format,# Subs,# Copies,# Women
1728,x,,T53471,Physics/Cosmology,view of sir isaac newton's philosophy 1,London,Henry Pemberton,,,,,,Samuel Palmer,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R4,National Library of Australia,4to,2179,2238,
1728,x,,N30855,Atlas/History/Geography,atlas maritimus & commercialis,London,John Harris,Edmund Halley,Henry Wilson,Nathaniel Cutler,Daniel Defoe,,,,,,John Senex,,,,,,,,James Knapton,The Crown,St Paul's Churchyard: London,John Darby,,Bartholomew Close: London,Arthur Bettesworth,No 32,Pater Noster Row: London,John Osborne,No 33,Pater Noster Row: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,John Senex,St Dunston's Church,Fleet Street: London,Edward Symon,The Black Bull,Cornhill: London,Andrew Johnston,Round Court,Saint Martin: London,William Taylor,The Ship,Pater Noster Row: London,John Knapton,The Crown,St Paul's Churchyard: London,William Innys,The West End,St Paul's Churchyard: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,R2,National Maritime Museum,2mo,432,434,
1728,x,,T114002,Encyclopedia,cyclopaedia of arts and sciences 1,London,Ephraim Chambers,,,,,,,,,,,,,,,,,,James Knapton,The Crown,St Paul's Churchyard: London,John Darby,,Bartholomew Close: London,Daniel Midwinter,The Peacock,Fleet Street: London,Arthur Bettesworth,No 32,Pater Noster Row: London,John Senex,St Dunston's Church,Fleet Street: London,Robert Gosling,The Mitre & Crown,Fleet Street: London,John Pemberton,The Golden Buck,Fleet Street: London,John Osborne,No 33,Pater Noster Row: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,Charles Rivington I,The Bible & Crown,St Paul's Churchyard: London,John Hooke,The Flower de Luce,Fleet Street: London,Ranew Robinson,The Golden Lion,St Paul's Churchyard: London,Francis Clay,The Bible & Star,Temple Bar: London,Aaron Ward,The Duck & Rainbow,Little Britain: London,Edward Symon,The Black Bull,Cornhill: London,Daniel Browne II,The Black Swan & Bible,Temple Bar: London,Andrew Johnston,Round Court,Saint Martin: London,Thomas Osborne II,,Gray's Inn: London,William Innys,The West End,St Paul's Churchyard: London,R7,University of Wisconsin,2mo,,,
1728,x,,T114002,Encyclopedia,cyclopaedia of arts and sciences 1,London,Ephraim Chambers,,,,,,,,,,,,,,,,,,John Knapton,The Crown,St Paul's Churchyard: London,William Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of Wisconsin,2mo,,,
1729,x,,T118372,Mathematics,art and ingenuity made easy gauging  arithmetick,London,William Fory,,,,,,J Stone,Gray's Inn: London,,,,,,,,,,,J Stone,Bedford Row,Gray's Inn: London,Samuel Parvish,,Guildford,William Fory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,202,245,1
1729,x,,T90492,Atlas/History/Geography,a new survey of the globe or an accurate mensuration of all the empires,London,Thomas Templeman,,,,,,James Cole,Hatton Garden: London,,,James Cole,Hatton Garden: London,,,,,,,John Bowles,No 13,Cornhill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Australia,4to,,,
1729,x,,T146327,Astronomy,Atlas coelestis,London,John Flamsteed,,,,Joseph Crosthwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Wellesley College Library,2mo,108,,
1729,x,,2,Map,a new and accurate map of south wales 1,London,Emanuel Bowen,,,,,,Emanuel Bowen,Clerkenwell: London,,,Emanuel Bowen,Clerkenwell: London,Thomas Bowen,,,,,,Carington Bowles,The Black Horse,St Paul's Churchyard: London,Robert Sayer,The Golden Buck,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Wales,1mo,462,483,
1729,R,,T145776,Map,a map of warwickshire exactly describing the boundaries and divisions,London,Henry Beighton,,,,,,,,,,,,,,,Henry Beighton,,,John Osborne,No 33,Pater Noster Row: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Folger Shakespeare Library,1mo,,,
1730,x,,T150406,Travel/Natural History,travels through europe asia and part of africa 2,London,Aubry de La Mottraye,,,,,,Du Round,Exchange Alley: London,,,,,,,,,,,Du Round,,Exchange Alley: London,Du Noyer,,The Strand: London,Grierson,,Dublin,Meighan,,Drury Lane: London,Bradley,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,490,514,12
1730,x,,T52745,Science History,the works of the lord bacon in four volumes,London,Francis Bacon,,,,John Blackbourne,,Robert Gosling,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,2mo,288,291,
1730,x,,T143907,Poetry/Natural History,the seasons 1,London,James Thomson,,,,,,Samuel Richardson,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,4to,387,454,
1730,x,,T96683,Mathematics,miscellanea analytica de seriebus et quadraturis 1,London,Abraham de Moivre,,,,,,Jacob Tonson,The Strand: London,John Watts,Covent Garden: London,,,,,,,,,James Watson,Hungerford Market,The Strand: London,J Watts,Hungerford Market,The Strand: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Pittsburgh,4to,,,
1730,x,,T113994,Navigation,a treatise of navigation,London,Joseph Harris,,,,,,,,,,,,,,,,,,Francis Fayram,South Entrance: Royal Exchange,Cornhill: London,John Senex,St Dunston's Church,Fleet Street: London,Thomas Wright,The Orrery and Globe,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Cornell University,4to,145,174,
1731,x,,T59420,Botany,gardener's dictionary 1,London,Philip Miller,,,,,,Charles Rivington I,St Paul's Churchyard: London,,,,,,,,,,,James Fletcher,The Bible & Crown,St Paul's Churchyard: London,Charles Rivington I,The Bible & Crown,St Paul's Churchyard: London,Francis Rivington,The Bible & Crown,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,Hunt Institute for Botanical Documentation,2mo,410,420,8
1731,x,,T64477,Travel/Natural History,a natural history of birds 1,London,Eleazar Albin,,,,,,William Innys,St Paul's Churchyard: London,John Innys,St Paul's Churchyard: London,,,,,,,,,William Innys,The West End,St Paul's Churchyard: London,John Clarke,Under the Royal Exchange,Cornhill: London,John Brindley,The King's Arms,New Bond Street: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Smithsonian Library,4to,86,89,
1731,x,,T147030,Botany,the natural history of carolina florida and the bahama islands,London,Mark Catesby,,,,,,William Innys,The West End,Richard Manby,St Paul's Churchyard: London,John Innys,,,,,,,,Charles Marsh,Old Round Ct,The Strand: London,Thomas Wilcox,Vergil's Head,The Strand: London,William Innys,The West End,St Paul's Churchyard: London,Richard Manby,West end of St Paul's,St Paul's Churchyard: London,Francis Hauksbee,Crane Court,Fleet Street: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Missouri Botanical Garden,2mo,154,166,
1731,x,,T186337,Physics/Cosmology,new enquiry of the earth's motion,London,Isaac Leach,,,,,,,,,,,,,,,,,,William Cranston,,Alton,Edward Midwinter,The Looking Glass,London Bridge: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,12mo,162,162,0
1732,x,,T97847,Travel/Natural History,a collection of voyages and travels,London,John Churchill 1,,,,,,Henry Crouch,London,,,,,,,,,,,John Walthoe,The Black Lion,Lincolns Inn Fields: London,Thomas Wotton,The Queen's Head and Three Daggers,Fleet Street: London,Samuel Birt,The Bible,Ludgate Street: London,Daniel Browne II,The Black Swan & Bible,Temple Bar: London,Thomas Osborne II,,Gray's Inn: London,John Shuckburgh,The Sun next Inner Temple Gate,Fleet Street: London,Henry Lintot,The Cross Keys,Fleet Street: London,John Churchill 2,The Black Swan,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of Alberta,2mo,202,,
1732,x,,T85844,Astronomy,new and correct tables of the lunar motions,Manchester,Robert Wright,,,,,,Robert Whitworth,Manchester,,,,,,,,,,,Thomas Page II,,Tower Hill: London,John Osborne,No 33,Pater Noster Row: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,Peter Potter,,Bridge Street: Chester,James Ansdel,Derby Square,Liverpool,William Mount,,Tower Hill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Stanford University,4to,360,422,
1732,x,,N18262,Botany,gardener's dictionary 2,Dublin,Philip Miller,,,,,,Samuel Powell,Essex Street: Dublin,,,,,,,,,,,Richard Gunne,,Dublin,George Risk,,Dublin,George Ewing,The Angel & Bible,Dame Street: Dublin,William Smith,,Dublin,John Smith,,Dublin,William Bruce,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Ireland,2mo,168,,
1732,"R UCollegeLondon, Not at Leicester",,3,Mathematics,practical arithmetick compleat,London,Joseph Champion,,,,,,Thomas Gover,Fleet Ditch: London,,,,,,,,,,,Stephen Austen,The Angel & Bible,St Paul's Churchyard: London,Thomas Green,Falstaff's Head,Charing Cross: London,George Strahan,The Golden Ball,Cornhill: London,Joseph Champion,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,The British Library,8vo,87,116,
1733,x,,T48183,Botany,short introduction to gardening,London,Robert Furber,,,,,,Henry Woodfall,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,388,567,33
1733,x,,N1359,Mathematics,elements of solid geometry,London,Henry Gore,,,,,,Jeremiah Batley,Pater Noster Row: London,,,,,,,,,,,Jeremiah Batley,The Dove,Pater Noster Row: London,Booksellers in Manchester,,Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,8vo,173,213,
1733,x,,T102873,Mathematics,the doctrine of projectiles 1,Dublin,William Starrat,,,,,,Samuel Powell,Essex Street: Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Stanford University,8vo,704,824,
1733,x,,T89514,Anatomy/Medicine,a treatise of warm bath water,Oxford,John Quinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4to,93,93,14
1733,x,,P3188,Periodical,the practical husbandman and planter,London,,,,,Stephen Switzer,,,,,,,,,,,,,,John Merrill,Regent Walk,Cambridge,Richard Montagu,Book warehouse at the corner of Gt Queen Street,Drury Lane: London,Thomas Merrill,Regent Walk,Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Carnegie Mellon: Hunt,8vo,289,355,
1734,x,,T57173,Anatomy/Medicine,an essay on epidemic diseases,Dublin,Joseph Rogers,,,,,,Samuel Powell,Essex Street: Dublin,,,,,,,,,,,William Smith,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of Toronto,8vo,106,134,
1734,x,,T64478,Travel/Natural History,a natural history of birds 2,London,Eleazar Albin,,,,,,William Innys,St Paul's Churchyard: London,John Innys,St Paul's Churchyard: London,,,,,,,,,William Innys,The West End,St Paul's Churchyard: London,John Clarke,Under the Royal Exchange,Cornhill: London,John Brindley,The King's Arms,New Bond Street: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Falvey Memorial Library,4to,110,118,
1734,x,,T135357,Physics/Cosmology,a course of experimental philosophy 1,London,John Theophilus Desaguliers,,,,,,William Innys,The West End,Richard Manby,St Paul's Churchyard: London,John Innys,,,,,,,,William Innys,The West End,St Paul's Churchyard: London,Mary Senex,St Dunston's Church,Fleet Street: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,Richard Manby,West end of St Paul's,St Paul's Churchyard: London,John Osborne,No 33,Pater Noster Row: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Ghent University,4to,283,314,
1734,x,,T130118,Chemistry/Medicine,the natural experimental and medicinal history of the mineral waters of derbyshire,London,Thomas Short,,,,,,William Bowyer I,Whitefriars: London,,,,,,,,,,,Fletcher Gyles,Gray's Inn Gate,Holborn: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Toronto,8vo,452,1000,
1735,x,,T145176,Botany,botanalogia universalis hibernica,Corke,John Keogh,,,,,,George Harrison,Corke,,,,,,,,,,,Tace Sowle,The Crooked Billet,White Heart Ct: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4to,367,367,25
1735,x,,T180297,Travel/Natural History,natural history of english insects 3,London,Eleazar Albin,William Derham,,,,,William Innys,St Paul's Churchyard: London,Richard Manby,St Paul's Churchyard: London,John Innys,,,,,,,,William Innys,The West End,St Paul's Churchyard: London,Richard Manby,West end of St Paul's,St Paul's Churchyard: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4tp,,,
1735,x,,T227941,Physics/Hydrostatics,the motion of fluids natural and artificial,London,Martin Clare,,,,,,,,,,,,,,,,,,Edward Symon,The Black Bull,Cornhill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Brown University,8vo,163,,
1736,x,,T64158,Travel/Natural History,a natural history of spiders,London,Eleazar Albin,,,,,,John Tilly,Aldersgate Street: London,,,,,,,,,,,Richard Montagu,Book warehouse at the corner of Gt Queen Street,Drury Lane: London,John Brindley,The King's Arms,New Bond Street: London,Oliver Payne,,London,John Worrall,The Bible & Dove,Lincolns Inn Fields: London,Thomas Worrall,St Dunstan's Church,Fleet Street: London,Thomas Boreman,Clement Lane,Guildhall: London,Charles Corbett,Addison's Head,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Princeton University Library,4to,64,,
1737,x,,T94682,Anatomy/Medicine,essay on hot and cold bathing,London,John King,,,,,,James Bettenham,Pater Noster Row: London,,,,,,,,,,,Arthur Bettesworth,No 32,Pater Noster Row: London,Charles Hitch,The Red Lion,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,480,560,6
1737,x,,T143839,Travel/Natural History,natural history of north carolina 1,Dublin,John Brickell,,,,,,James Carson,Coghill's Court: Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,John Carter Brown Library,8vo,211,234,
1737,x,,T10163,Mechanics,bibliotheca technologia,London,Benjamin Martin,,,,,,Samuel Idle,Bartholomew Close: London,,,,,,,,,,,John Noon,The White Hart,Cheapside: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,Oxford University,8vo,566,670,
1737,"R Library Company, not at Harvard, Georgetown, Virginia, BL",,N7839,Mathematics,a new treatise of fluxions,London,Thomas Simpson,,,,,,Thomas Gardner,Temple Bar: London,,,,,,,,,,,Robert Shirtcliffe,,London,Daniel Eagland,,London,Thomas Gardner,,Temple Bar: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Stanford University,4to,,,
1738,x (1728),,T136232,Encyclopedia,cyclopaedia of arts and sciences 2,London,Ephraim Chambers,,,,,,William Bowyer II,Whitefriars: London,Charles and John Ackers,Clerkenwell: London,,,,,,,,,James Knapton,The Crown,St Paul's Churchyard: London,John Darby,,Bartholomew Close: London,Daniel Midwinter,The Peacock,Fleet Street: London,Arthur Bettesworth,No 32,Pater Noster Row: London,John Senex,St Dunston's Church,Fleet Street: London,Robert Gosling,The Mitre & Crown,Fleet Street: London,John Pemberton,The Golden Buck,Fleet Street: London,William Innys,The West End,St Paul's Churchyard: London,John Osborne,No 33,Pater Noster Row: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,Charles Rivington I,The Bible & Crown,St Paul's Churchyard: London,John Hooke,The Flower de Luce,Fleet Street: London,Ranew Robinson,The Golden Lion,St Paul's Churchyard: London,Francis Clay,The Bible & Star,Temple Bar: London,Aaron Ward,The Duck & Rainbow,Little Britain: London,Edward Symon,The Black Bull,Cornhill: London,Daniel Browne,The Black Swan & Bible,Temple Bar: London,Andrew Johnston,Round Court,Saint Martin: London,Thomas Osborne,,St Paul's Churchyard: London,R7,Brown University,2mo,,2000,
1738,x (1728),,T136232,Encyclopedia,cyclopaedia of arts and sciences 2,London,Ephraim Chambers,,,,,,William Bowyer II,Whitefriars: London,Charles and John Ackers,Clerkenwell: London,,,,,,,,,John Knapton,The Crown,St Paul's Churchyard: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Brown University,2mo,,2000,
1738,x,,T64476,Travel/Natural History,a natural history of birds 3,London,Eleazar Albin,,,,,,College of Physicians,Warwick Lane: London,,,,,,,,Eleazar Albin,,,William Innys,The West End,St Paul's Churchyard: London,John Brindley,The King's Arms,New Bond Street: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,4to,122,129,
1738,x,,T100004,Physics/Cosmology,a compleat system of opticks,Cambridge,Robert Smith,,,,,,Cornelius Crownfield,Cambridge,,,,,,,,,,,Stephen Austen,The Angel & Bible,St Paul's Churchyard: London,Robert Dodsley,Tully's Head,Pall Mall: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Ghent University,4to,340,418,0
1738,x,,T29768,Engineering,The builders compleat assistant,London,Batty Langley,,,,,,Henry Woodfall,Pater Noster Row: London,,,,,,,,,,,Richard Ware,The Bible & Sun,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,300,331,0
1738,x,,N30155,Atlas/History/Geography,geography epitomiz'd,London,Michel Nollet,,,,,,John Hughs,Lincolns Inn Fields: London,,,,,,,,,,,John Wilcox,,Little Britain: London,William Meadows,The Angel,Cornhill: London,Henry Chapelle,,Grovesnor Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,Rice University,8vo,90,110,10
1739,x,,T100832,Botany/Medicine,zoologia medicinalis hibernica,Dublin,John Keogh,,,,,,Samuel Powell,Essex Street: Dublin,,,,,,,,,,,James Kelburn,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,Universidad Complutense de Madrid,8vo,374,,
1739,x,,T125742,Atlas/History/Geography,essay towards a topographical history of norfolk,Fersfield,Francis Blomefield,,,,,,W Wittingham,Fersfield,,,William Henry Toms,Holborn: London,George Vertue,P Lombart,WP,T Martin,Thomas Ripley,,,,Fersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,284,292,4
1739,x,,T59416,Botany,gardener's dictionary 3,London,Philip Miller,,,,,,,,,,,,,,,,,,James Fletcher,The Bible & Crown,St Paul's Churchyard: London,Charles Rivington I,The Bible & Crown,St Paul's Churchyard: London,Francis Rivington,The Bible & Crown,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,265,300,8
1740,x,,T73603,Science History,the works of francis bacon baron of verulam,London,David Mallet,,,,,,Andrew Millar,The Strand: London,,,,,,,,,,,John Walthoe,The Black Lion,Lincolns Inn Fields: London,Daniel Midwinter,The Peacock,Fleet Street: London,William Innys,The West End,St Paul's Churchyard: London,Aaron Ward,The Duck & Rainbow,Little Britain: London,Daniel Browne II,The Black Swan & Bible,Temple Bar: London,Charles Davis,No 36,Pater Noster Row: London,Jacob Tonson,Shakespeare's Head,The Strand: London,Richard Tonson,Shakespeare's Head,The Strand: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of California,2mo,242,,
1740,x,,T147639,Mathematics,the elements of algebra,Cambridge,Nicholas Saunderson,,,,,,Cambridge UP,Cambridge,,,,,,,,,,,Mrs Saunderson,,Cambridge,John Whiston,Boyle's Head,Fleet Street: London,Thomas Hammond,St Michael's,York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of California,4to,607,784,
1740,x,,T130117,Chemistry/Medicine,an essay towards a natural experimental and medicinal history,Sheffield,Thomas Short,,,,,,John Garnet,Castle Green: Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Medicine,4to,308,357,
1740,x,,T145612,Science History,lives of the professors of gresham college,London,John Ward,,,,,,John Moore 1,Bartholomew Lane: London,,,,,,,,,,,William Innys,The West End,St Paul's Churchyard: London,James Knapton,The Crown,St Paul's Churchyard: London,Fletcher Gyles,Gray's Inn Gate,Holborn: London,Aaron Ward,The Duck & Rainbow,Little Britain: London,Edward Symon,The Black Bull,Cornhill: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,John Noon,The White Hart,Cheapside: London,Richard Crown,The Bible & Crown,The Poultry: London,Andrew Millar,Shakespeare's Head,The Strand: London,John Stagg,,Westminster Hall: London,John Knapton,The Crown,St Paul's Churchyard: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,R3,Oxford University,2mo,303,323,
1740,x,,T135914,Encyclopedia,cyclopaedia of arts and sciences 3,Dublin,Ephraim Chambers,,,,,,R Reilly,Dublin,,,,,,,,,,,Richard Gunne,,Dublin,Robert Owen,,Dublin,George Risk,,Dublin,Joseph Leathley,,Dublin,George Ewing,The Angel & Bible,Dame Street: Dublin,William Smith,,Dublin,Philip Crampton,,Dublin,Abraham Bradley,,Dublin,John Smith,,Dublin,George Faulker,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Ireland,2mo,510,516,
1742,x,,T121515,Anatomy/Medicine,hygiasticon or a treatise of the means of health,London,Leonardus Lessius,,,,,T Smith,Charles Hitch,Pater Noster Row: London,,,,,,,,,,,William Flacton,,Canterbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Indiana University,8vo,363,407,
1742,x,,T93376,Mathematics,decimal arithmetic made perfect,London,John Marsh,,,,,,Edward Easton,Salisbury,,,,,,,,,,,Benjamin Collins,The Bible & Crown,Salisbury,Paul Knapton,The Crown,Ludgate Street: London,John Knapton,The Crown,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,4to,212,234,
1742,x,,T102269,Mathematics,tables of logarithms 1,London,William Gardiner,,,,,,George Smith,Snow Hill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,4to,116,150,
1742,x,,T99397,Travel/Natural History,an essay towards a natural history of serpents,London,Charles Owen,,,,,,Henry Woodfall,Pater Noster Row: London,,,,,,,,,,,John Gray,The Cross Keys,The Poultry: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Biodiversity Heritage Library,4to,849,1004,
1742,x,,N43194,Astronomy,astronomy in five books 1,Cambridge,Roger Long,,,,,,James Fletcher I,Oxford,James Fletcher II,Oxford,,,,,,,,,John Deighton,St Michael,Cambridge,Thomas Egerton,No 30,Charing Cross: London,James Fletcher,The Bible & Crown,St Paul's Churchyard: London,Charles Rivington I,The Bible & Crown,St Paul's Churchyard: London,Francis Rivington,The Bible & Crown,St Paul's Churchyard: London,John Egerton,No 30,Charing Cross: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,University of Michigan,4to,431,444,
1742,R,,T100932,Astronomy,clavis caelestis,London,Thomas Wright,,,,M A Hoskin,,Edward Cave,St John's Gate: London,,,,,,,,,,,Edward Scarlett,The Spectacles,Temple Bar: London,Thomas Heath,The Hercules and Globe,The Strand: London,Henry Chapelle,,Grovesnor Street: London,William Bannister,The Queen's Arms,The Strand: London,Paul Fourdrinier,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Library of Congress,4to,59,62,
1743,x,,T144870,Travel/Natural History,a natural history of uncommon birds 1,London,George Edwards,,,,,,College of Physicians,Warwick Lane: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,4to,77,,
